F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,2.74830978947947,0.01,28.0
102000,153600000,1,2.8355923552430102,0.01,42.0
102000,230400000,1,2.8058361391694726,0.01,42.0
102000,307200000,1,2.8336639274582036,0.0,42.0
102000,384000000,1,2.8357531760435575,0.01,42.0
102000,460800000,1,2.8402635764598956,0.0,42.0
102000,537600000,1,2.8606573790657093,0.01,42.0
102000,614400000,1,2.8702640642939152,0.01,42.0
102000,691200000,1,2.841070515370191,0.0,85.0
102000,768000000,1,2.842443364315966,0.0,85.0
102000,844800000,1,2.8723251472066638,0.0,85.0
102000,921600000,1,2.867383512544803,0.0,127.0
204000,76800000,1,5.753408894770152,0.01,42.0
204000,153600000,1,5.803830528148578,0.01,42.0
204000,230400000,1,5.765682656826568,0.01,42.0
204000,307200000,1,5.903187721369539,0.01,42.0
204000,384000000,1,5.815982319413749,0.01,42.0
204000,460800000,1,5.911563017261764,0.01,42.0
204000,537600000,1,5.878894767783657,0.0,42.0
204000,614400000,1,5.944243000653867,0.0,42.0
204000,691200000,1,5.896574090453447,0.01,85.0
204000,768000000,1,5.883737349964697,0.0,85.0
204000,844800000,1,5.927682276229994,0.0,92.0
204000,921600000,1,5.881315062047874,0.0,127.0
307200,76800000,1,8.580008580008581,0.02,36.75
307200,153600000,1,8.516436722875149,0.01,42.0
307200,230400000,1,8.617718028266115,0.01,42.0
307200,307200000,1,8.585164835164836,0.01,42.0
307200,384000000,1,8.635578583765113,0.01,42.0
307200,460800000,1,8.616975441619992,0.01,42.0
307200,537600000,1,8.916629514043692,0.01,42.0
307200,614400000,1,8.829242450997704,0.01,47.38
307200,691200000,1,8.89205050684688,0.01,84.88
307200,768000000,1,8.9126559714795,0.01,85.0
307200,844800000,1,8.849557522123893,0.01,105.75
307200,921600000,1,8.971023593792053,0.01,127.0
403200,76800000,1,11.420740063956144,0.02,42.0
403200,153600000,1,11.689070718877849,0.01,42.0
403200,230400000,1,11.748120300751879,0.01,42.0
403200,307200000,1,11.60227404571296,0.01,42.0
403200,384000000,1,11.742602160638798,0.01,42.0
403200,460800000,1,11.653653420347279,0.01,42.0
403200,537600000,1,11.785503830288746,0.01,42.0
403200,614400000,1,11.796626164916834,0.01,46.2
403200,691200000,1,11.709601873536299,0.01,84.1
403200,768000000,1,11.67406023815083,0.0,85.0
403200,844800000,1,11.799410029498524,0.0,114.1
403200,921600000,1,11.775788977861517,0.0,127.0
518400,76800000,1,14.419610670511897,0.02,42.0
518400,153600000,1,14.764506127270042,0.01,42.0
518400,230400000,1,15.064778547755349,0.01,42.0
518400,307200000,1,14.940983116689077,0.01,42.0
518400,384000000,1,15.149219815179517,0.01,42.0
518400,460800000,1,15.128593040847203,0.01,42.0
518400,537600000,1,15.220700152207002,0.01,42.0
518400,614400000,1,15.169902912621358,0.01,64.62
518400,691200000,1,14.974543276430069,0.01,84.0
518400,768000000,1,15.176809834572772,0.01,85.0
518400,844800000,1,15.080681646810435,0.01,110.46
518400,921600000,1,15.051173991571343,0.01,127.0
614400,76800000,1,16.94053870913095,0.03,42.0
614400,153600000,1,17.289073305670815,0.03,42.0
614400,230400000,1,17.780938833570413,0.01,42.0
614400,307200000,1,17.768301350390903,0.02,42.0
614400,384000000,1,17.78410101369376,0.01,42.0
614400,460800000,1,17.8826895565093,0.01,42.0
614400,537600000,1,17.755681818181817,0.01,42.0
614400,614400000,1,17.69598301185631,0.01,75.6
614400,691200000,1,17.705382436260624,0.01,84.0
614400,768000000,1,17.724211272598367,0.01,85.0
614400,844800000,1,17.857142857142858,0.01,121.27
614400,921600000,1,17.873100983020553,0.01,127.0
710400,76800000,1,19.774569903104606,0.03,42.0
710400,153600000,1,20.251113811259618,0.02,42.0
710400,230400000,1,20.271639975674034,0.01,42.0
710400,307200000,1,20.605810838656502,0.01,42.0
710400,384000000,1,20.533880903490758,0.01,42.0
710400,460800000,1,20.563438206868188,0.01,42.0
710400,537600000,1,20.686801820438557,0.01,42.0
710400,614400000,1,20.50020500205002,0.01,66.71
710400,691200000,1,20.77706212341575,0.01,84.0
710400,768000000,1,20.429009193054135,0.01,85.0
710400,844800000,1,20.639834881320947,0.01,127.0
710400,921600000,1,20.521239482864765,0.01,127.0
825600,76800000,1,22.675736961451246,0.04,42.0
825600,153600000,1,23.207240659085635,0.02,42.0
825600,230400000,1,23.326335432703523,0.02,42.0
825600,307200000,1,23.860653781913626,0.01,42.0
825600,384000000,1,23.99232245681382,0.01,42.0
825600,460800000,1,23.607176581680832,0.01,42.0
825600,537600000,1,23.82654276864427,0.01,42.0
825600,614400000,1,23.736055067647754,0.01,72.95
825600,691200000,1,24.003840614498323,0.01,84.0
825600,768000000,1,23.752969121140143,0.01,85.0
825600,844800000,1,23.702299123014935,0.01,127.0
825600,921600000,1,23.713540431586434,0.01,127.0
921600,76800000,1,25.342118601115054,0.04,42.0
921600,153600000,1,26.08242044861763,0.02,42.0
921600,230400000,1,25.980774227071965,0.02,42.0
921600,307200000,1,26.03488674824265,0.02,42.0
921600,384000000,1,26.63115845539281,0.01,42.0
921600,460800000,1,26.143790849673202,0.01,42.0
921600,537600000,1,26.64535038635758,0.01,42.0
921600,614400000,1,26.63825253063399,0.01,84.0
921600,691200000,1,26.75943270002676,0.01,84.0
921600,768000000,1,26.448029621793175,0.01,85.0
921600,844800000,1,26.652452025586353,0.01,127.0
921600,921600000,1,26.42007926023778,0.01,127.0
1036800,76800000,1,27.9876854184159,0.04,42.0
1036800,153600000,1,29.222676797194623,0.02,42.0
1036800,230400000,1,29.163021289005542,0.02,42.0
1036800,307200000,1,29.10360884749709,0.02,42.0
1036800,384000000,1,29.489826010026544,0.01,42.0
1036800,460800000,1,29.815146094215862,0.02,42.0
1036800,537600000,1,29.56830277942046,0.01,42.0
1036800,614400000,1,29.967036260113876,0.01,84.0
1036800,691200000,1,29.71768202080238,0.01,84.0
1036800,768000000,1,29.682398337785695,0.01,85.0
1036800,844800000,1,30.039050765995796,0.01,126.96
1036800,921600000,1,29.922202274087372,0.01,127.0
1132800,76800000,1,29.472443265546715,0.04,42.0
1132800,153600000,1,30.487804878048784,0.04,42.0
1132800,230400000,1,30.59039461609055,0.02,42.0
1132800,307200000,1,31.240237425804438,0.02,42.0
1132800,384000000,1,31.665611146295124,0.01,42.0
1132800,460800000,1,31.25,0.02,42.0
1132800,537600000,1,31.605562579013906,0.01,42.0
1132800,614400000,1,31.61555485298767,0.02,84.0
1132800,691200000,1,31.735956839098698,0.01,84.0
1132800,768000000,1,31.877590054191902,0.01,85.72
1132800,844800000,1,31.279324366593684,0.01,126.88
1132800,921600000,1,31.665611146295124,0.01,127.0
1224000,76800000,1,31.605562579013906,0.05,42.0
1224000,153600000,1,33.23363243602526,0.03,42.0
1224000,230400000,1,33.944331296673454,0.02,42.0
1224000,307200000,1,33.886818027787186,0.02,42.0
1224000,384000000,1,33.97893306150187,0.02,42.0
1224000,460800000,1,33.990482664853836,0.01,42.0
1224000,537600000,1,34.059945504087196,0.01,42.0
1224000,614400000,1,33.704078193461406,0.02,84.0
1224000,691200000,1,34.15300546448087,0.01,84.0
1224000,768000000,1,34.47087211306446,0.01,85.62
1224000,844800000,1,34.08316291751875,0.01,126.08
1224000,921600000,1,34.106412005457024,0.01,127.0
1326000,76800000,1,34.1646737273659,0.05,42.0
1326000,153600000,1,35.28581510232886,0.03,42.0
1326000,230400000,1,36.088054853843374,0.02,42.0
1326000,307200000,1,36.153289949385396,0.02,42.0
1326000,384000000,1,36.737692872887585,0.02,42.0
1326000,460800000,1,36.44314868804665,0.02,42.0
1326000,537600000,1,36.63003663003663,0.02,42.0
1326000,614400000,1,36.41660597232338,0.02,84.0
1326000,691200000,1,37.064492216456635,0.01,84.0
1326000,768000000,1,36.737692872887585,0.01,103.5
1326000,844800000,1,36.737692872887585,0.01,126.07
1326000,921600000,1,37.00962250185048,0.01,127.0
1428000,76800000,1,36.84598378776713,0.05,42.0
1428000,153600000,1,37.950664136622386,0.03,42.0
1428000,230400000,1,39.0625,0.02,42.0
1428000,307200000,1,38.669760247486465,0.02,42.0
1428000,384000000,1,39.38558487593541,0.02,42.0
1428000,460800000,1,39.15426781519186,0.02,42.0
1428000,537600000,1,39.55696202531645,0.01,42.0
1428000,614400000,1,39.26187671770711,0.01,82.55
1428000,691200000,1,39.603960396039604,0.02,84.0
1428000,768000000,1,39.71405877680699,0.01,111.52
1428000,844800000,1,39.44773175542406,0.01,126.03
1428000,921600000,1,40.0320256204964,0.01,127.0
1479000,76800000,1,37.764350453172206,0.06,42.0
1479000,153600000,1,39.15426781519186,0.03,42.0
1479000,230400000,1,39.603960396039604,0.02,42.0
1479000,307200000,1,40.32258064516129,0.02,42.0
1479000,384000000,1,40.55150040551501,0.02,42.0
1479000,460800000,1,40.46944556859571,0.01,42.0
1479000,537600000,1,41.135335252982316,0.01,42.0
1479000,614400000,1,40.816326530612244,0.02,84.0
1479000,691200000,1,40.86636697997548,0.01,84.0
1479000,768000000,1,40.74979625101874,0.01,96.63
1479000,844800000,1,40.783034257748774,0.01,126.03
1479000,921600000,1,40.83299305839118,0.01,141.4
